id,sensor_id,zone_id,timestamp,sensor_type,unit,val_0_1,val_0_3,val_0_5
9,LPM-001,zone_A,2025-07-15T09:32:00Z,particle,PPM,922,89,14
9,LPM-001,zone_A,2025-07-15T09:32:01Z,particle,PPM,909,93,14
9,LPM-001,zone_A,2025-07-15T09:32:02Z,particle,PPM,883,93,15
9,LPM-001,zone_A,2025-07-15T09:32:03Z,particle,PPM,855,89,15
9,LPM-001,zone_A,2025-07-15T09:32:04Z,particle,PPM,882,90,14
9,LPM-001,zone_A,2025-07-15T09:32:05Z,particle,PPM,869,87,15
9,LPM-001,zone_A,2025-07-15T09:32:06Z,particle,PPM,865,84,16
9,LPM-001,zone_A,2025-07-15T09:32:07Z,particle,PPM,885,84,16
9,LPM-001,zone_A,2025-07-15T09:32:08Z,particle,PPM,851,86,16
9,LPM-001,zone_A,2025-07-15T09:32:09Z,particle,PPM,821,81,15
9,LPM-001,zone_A,2025-07-15T09:32:10Z,particle,PPM,793,81,14
9,LPM-001,zone_A,2025-07-15T09:32:11Z,particle,PPM,799,81,16
9,LPM-001,zone_A,2025-07-15T09:32:12Z,particle,PPM,804,81,17
9,LPM-001,zone_A,2025-07-15T09:32:13Z,particle,PPM,796,77,16
9,LPM-001,zone_A,2025-07-15T09:32:14Z,particle,PPM,806,73,16
9,LPM-001,zone_A,2025-07-15T09:32:15Z,particle,PPM,827,77,17
9,LPM-001,zone_A,2025-07-15T09:32:16Z,particle,PPM,816,82,19
9,LPM-001,zone_A,2025-07-15T09:32:17Z,particle,PPM,823,78,19
9,LPM-001,zone_A,2025-07-15T09:32:18Z,particle,PPM,842,80,20
9,LPM-001,zone_A,2025-07-15T09:32:19Z,particle,PPM,868,81,20
9,LPM-001,zone_A,2025-07-15T09:32:20Z,particle,PPM,852,86,19
9,LPM-001,zone_A,2025-07-15T09:32:21Z,particle,PPM,825,81,19
9,LPM-001,zone_A,2025-07-15T09:32:22Z,particle,PPM,843,80,19
9,LPM-001,zone_A,2025-07-15T09:32:23Z,particle,PPM,854,83,20
9,LPM-001,zone_A,2025-07-15T09:32:24Z,particle,PPM,828,81,20
9,LPM-001,zone_A,2025-07-15T09:32:25Z,particle,PPM,846,86,19
9,LPM-001,zone_A,2025-07-15T09:32:26Z,particle,PPM,855,84,19
9,LPM-001,zone_A,2025-07-15T09:32:27Z,particle,PPM,818,83,20
9,LPM-001,zone_A,2025-07-15T09:32:28Z,particle,PPM,820,78,21
9,LPM-001,zone_A,2025-07-15T09:32:29Z,particle,PPM,828,78,21
9,LPM-001,zone_A,2025-07-15T09:32:30Z,particle,PPM,842,81,20
9,LPM-001,zone_A,2025-07-15T09:32:31Z,particle,PPM,824,79,20
9,LPM-001,zone_A,2025-07-15T09:32:32Z,particle,PPM,865,84,21
9,LPM-001,zone_A,2025-07-15T09:32:33Z,particle,PPM,835,80,20
9,LPM-001,zone_A,2025-07-15T09:32:34Z,particle,PPM,853,84,21
9,LPM-001,zone_A,2025-07-15T09:32:35Z,particle,PPM,884,85,21
9,LPM-001,zone_A,2025-07-15T09:32:36Z,particle,PPM,904,87,22
9,LPM-001,zone_A,2025-07-15T09:32:37Z,particle,PPM,910,83,22
9,LPM-001,zone_A,2025-07-15T09:32:38Z,particle,PPM,887,80,23
9,LPM-001,zone_A,2025-07-15T09:32:39Z,particle,PPM,850,83,21
9,LPM-001,zone_A,2025-07-15T09:32:40Z,particle,PPM,875,83,23
9,LPM-001,zone_A,2025-07-15T09:32:41Z,particle,PPM,870,81,21
9,LPM-001,zone_A,2025-07-15T09:32:42Z,particle,PPM,838,85,22
9,LPM-001,zone_A,2025-07-15T09:32:43Z,particle,PPM,818,80,21
9,LPM-001,zone_A,2025-07-15T09:32:44Z,particle,PPM,813,78,23
9,LPM-001,zone_A,2025-07-15T09:32:45Z,particle,PPM,823,78,23
9,LPM-001,zone_A,2025-07-15T09:32:46Z,particle,PPM,806,76,22
9,LPM-001,zone_A,2025-07-15T09:32:47Z,particle,PPM,832,75,24
9,LPM-001,zone_A,2025-07-15T09:32:48Z,particle,PPM,873,79,24
9,LPM-001,zone_A,2025-07-15T09:32:49Z,particle,PPM,833,84,22
9,LPM-001,zone_A,2025-07-15T09:32:50Z,particle,PPM,824,83,22
9,LPM-001,zone_A,2025-07-15T09:32:51Z,particle,PPM,838,88,21
9,LPM-001,zone_A,2025-07-15T09:32:52Z,particle,PPM,830,93,21
9,LPM-001,zone_A,2025-07-15T09:32:53Z,particle,PPM,810,98,20
9,LPM-001,zone_A,2025-07-15T09:32:54Z,particle,PPM,789,100,21
9,LPM-001,zone_A,2025-07-15T09:32:55Z,particle,PPM,776,101,21
9,LPM-001,zone_A,2025-07-15T09:32:56Z,particle,PPM,799,100,20
9,LPM-001,zone_A,2025-07-15T09:32:57Z,particle,PPM,766,101,20
9,LPM-001,zone_A,2025-07-15T09:32:58Z,particle,PPM,782,99,20
9,LPM-001,zone_A,2025-07-15T09:32:59Z,particle,PPM,745,98,20
9,LPM-001,zone_A,2025-07-15T09:33:00Z,particle,PPM,718,99,21
9,LPM-001,zone_A,2025-07-15T09:33:01Z,particle,PPM,725,102,22
9,LPM-001,zone_A,2025-07-15T09:33:02Z,particle,PPM,707,102,21
9,LPM-001,zone_A,2025-07-15T09:33:03Z,particle,PPM,675,102,19
9,LPM-001,zone_A,2025-07-15T09:33:04Z,particle,PPM,699,96,19
9,LPM-001,zone_A,2025-07-15T09:33:05Z,particle,PPM,706,98,21
9,LPM-001,zone_A,2025-07-15T09:33:06Z,particle,PPM,722,98,19
9,LPM-001,zone_A,2025-07-15T09:33:07Z,particle,PPM,730,94,20
9,LPM-001,zone_A,2025-07-15T09:33:08Z,particle,PPM,754,97,20
9,LPM-001,zone_A,2025-07-15T09:33:09Z,particle,PPM,720,101,20
9,LPM-001,zone_A,2025-07-15T09:33:10Z,particle,PPM,706,97,19
9,LPM-001,zone_A,2025-07-15T09:33:11Z,particle,PPM,725,101,17
9,LPM-001,zone_A,2025-07-15T09:33:12Z,particle,PPM,732,102,18
9,LPM-001,zone_A,2025-07-15T09:33:13Z,particle,PPM,736,99,20
9,LPM-001,zone_A,2025-07-15T09:33:14Z,particle,PPM,760,99,19
9,LPM-001,zone_A,2025-07-15T09:33:15Z,particle,PPM,770,102,19
9,LPM-001,zone_A,2025-07-15T09:33:16Z,particle,PPM,740,101,20
9,LPM-001,zone_A,2025-07-15T09:33:17Z,particle,PPM,748,101,21
9,LPM-001,zone_A,2025-07-15T09:33:18Z,particle,PPM,732,98,20
9,LPM-001,zone_A,2025-07-15T09:33:19Z,particle,PPM,701,99,19
9,LPM-001,zone_A,2025-07-15T09:33:20Z,particle,PPM,698,101,20
9,LPM-001,zone_A,2025-07-15T09:33:21Z,particle,PPM,737,98,20
9,LPM-001,zone_A,2025-07-15T09:33:22Z,particle,PPM,717,101,20
9,LPM-001,zone_A,2025-07-15T09:33:23Z,particle,PPM,729,99,21
9,LPM-001,zone_A,2025-07-15T09:33:24Z,particle,PPM,756,97,21
9,LPM-001,zone_A,2025-07-15T09:33:25Z,particle,PPM,783,95,19
9,LPM-001,zone_A,2025-07-15T09:33:26Z,particle,PPM,783,96,19
9,LPM-001,zone_A,2025-07-15T09:33:27Z,particle,PPM,805,96,19
9,LPM-001,zone_A,2025-07-15T09:33:28Z,particle,PPM,808,92,19
9,LPM-001,zone_A,2025-07-15T09:33:29Z,particle,PPM,768,94,19
9,LPM-001,zone_A,2025-07-15T09:33:30Z,particle,PPM,783,90,19
9,LPM-001,zone_A,2025-07-15T09:33:31Z,particle,PPM,800,87,21
9,LPM-001,zone_A,2025-07-15T09:33:32Z,particle,PPM,806,85,20
9,LPM-001,zone_A,2025-07-15T09:33:33Z,particle,PPM,794,82,19
9,LPM-001,zone_A,2025-07-15T09:33:34Z,particle,PPM,758,78,20
9,LPM-001,zone_A,2025-07-15T09:33:35Z,particle,PPM,769,80,20
9,LPM-001,zone_A,2025-07-15T09:33:36Z,particle,PPM,763,80,21
9,LPM-001,zone_A,2025-07-15T09:33:37Z,particle,PPM,786,83,20
9,LPM-001,zone_A,2025-07-15T09:33:38Z,particle,PPM,794,79,20
9,LPM-001,zone_A,2025-07-15T09:33:39Z,particle,PPM,796,82,22
9,LPM-001,zone_A,2025-07-15T09:33:40Z,particle,PPM,813,82,21
9,LPM-001,zone_A,2025-07-15T09:33:41Z,particle,PPM,785,78,21
9,LPM-001,zone_A,2025-07-15T09:33:42Z,particle,PPM,749,76,22
9,LPM-001,zone_A,2025-07-15T09:33:43Z,particle,PPM,714,80,24
9,LPM-001,zone_A,2025-07-15T09:33:44Z,particle,PPM,727,83,25
9,LPM-001,zone_A,2025-07-15T09:33:45Z,particle,PPM,748,83,24
9,LPM-001,zone_A,2025-07-15T09:33:46Z,particle,PPM,763,79,24
9,LPM-001,zone_A,2025-07-15T09:33:47Z,particle,PPM,791,77,24
9,LPM-001,zone_A,2025-07-15T09:33:48Z,particle,PPM,788,76,23
9,LPM-001,zone_A,2025-07-15T09:33:49Z,particle,PPM,784,72,23
9,LPM-001,zone_A,2025-07-15T09:33:50Z,particle,PPM,760,71,25
9,LPM-001,zone_A,2025-07-15T09:33:51Z,particle,PPM,766,70,23
